image_path,target
../input/data/football/00000711.JPG,7.0
../input/data/baseball/00000514.png,1.0
../input/data/shooting/00000019.jpg,14.0
../input/data/baseball/00000538.jpg,1.0
../input/data/weight_lifting/00000554.jpg,19.0
../input/data/badminton/00000915.jpg,0.0
../input/data/motogp/00000689.jpg,13.0
../input/data/boxing/00000516.jpg,3.0
../input/data/volleyball/00000317.jpg,18.0
../input/data/weight_lifting/00000267.jpg,19.0
../input/data/badminton/00000903.jpg,0.0
../input/data/fencing/00000097.jpg,6.0
../input/data/wrestling/00000394.jpg,20.0
../input/data/fencing/00000433.jpg,6.0
../input/data/fencing/00000462.png,6.0
../input/data/badminton/00000254.jpg,0.0
../input/data/football/00000066.jpg,7.0
../input/data/formula1/00000437.jpg,8.0
../input/data/tennis/00000598.JPG,17.0
../input/data/boxing/00000283.jpg,3.0
../input/data/chess/00000255.jpg,4.0
../input/data/volleyball/00000669.jpg,18.0
../input/data/shooting/00000090.jpg,14.0
../input/data/fencing/00000047.jpg,6.0
../input/data/table_tennis/00000585.jpg,16.0
../input/data/motogp/00000167.jpg,13.0
../input/data/fencing/00000610.jpg,6.0
../input/data/chess/00000398.jpg,4.0
../input/data/chess/00000297.jpg,4.0
../input/data/volleyball/00000630.jpg,18.0
../input/data/fencing/00000599.jpg,6.0
../input/data/cricket/00000623.jpg,5.0
../input/data/kabaddi/00000129.jpg,12.0
../input/data/cricket/00000608.jpg,5.0
../input/data/gymnastics/00000408.jpg,9.0
../input/data/formula1/00000277.jpg,8.0
../input/data/motogp/00000210.jpg,13.0
../input/data/wrestling/00000249.jpg,20.0
../input/data/cricket/00000257.jpg,5.0
../input/data/cricket/00000372.jpg,5.0
../input/data/boxing/00000738.jpg,3.0
../input/data/hockey/00000380.jpg,10.0
../input/data/formula1/00000182.jpg,8.0
../input/data/gymnastics/00000724.jpg,9.0
../input/data/badminton/00000803.jpg,0.0
../input/data/swimming/00000250.jpg,15.0
../input/data/swimming/00000022.png,15.0
../input/data/baseball/00000583.jpg,1.0
../input/data/motogp/00000604.jpg,13.0
../input/data/table_tennis/00000541.jpg,16.0
../input/data/gymnastics/00000690.jpg,9.0
../input/data/volleyball/00000607.jpg,18.0
../input/data/boxing/00000442.jpg,3.0
../input/data/shooting/00000375.jpg,14.0
../input/data/boxing/00000321.jpg,3.0
../input/data/motogp/00000428.jpg,13.0
../input/data/wwe/00000036.jpg,21.0
../input/data/table_tennis/00000347.jpg,16.0
../input/data/baseball/00000057.jpg,1.0
../input/data/baseball/00000711.jpg,1.0
../input/data/wrestling/00000038.jpg,20.0
../input/data/weight_lifting/00000373.png,19.0
../input/data/badminton/00000119.jpg,0.0
../input/data/wwe/00000661.jpg,21.0
../input/data/basketball/00000364.jpg,2.0
../input/data/formula1/00000128.jpg,8.0
../input/data/ice_hockey/00000306.jpg,11.0
../input/data/gymnastics/00000243.JPG,9.0
../input/data/baseball/00000052.jpg,1.0
../input/data/gymnastics/00000349.jpg,9.0
../input/data/shooting/00000092.jpg,14.0
../input/data/football/00000788.JPG,7.0
../input/data/football/00000625.jpg,7.0
../input/data/basketball/00000228.jpg,2.0
../input/data/football/00000565.JPG,7.0
../input/data/tennis/00000021.jpg,17.0
../input/data/wwe/00000248.jpg,21.0
../input/data/fencing/00000099.jpg,6.0
../input/data/kabaddi/00000468.jpg,12.0
../input/data/wwe/00000107.jpg,21.0
../input/data/basketball/00000380.jpg,2.0
../input/data/wwe/00000208.jpg,21.0
../input/data/boxing/00000595.jpg,3.0
../input/data/baseball/00000777.jpg,1.0
../input/data/badminton/00000226.jpg,0.0
../input/data/table_tennis/00000165.jpg,16.0
../input/data/weight_lifting/00000175.jpg,19.0
../input/data/chess/00000279.jpg,4.0
../input/data/boxing/00000041.jpg,3.0
../input/data/weight_lifting/00000232.jpg,19.0
../input/data/motogp/00000290.jpg,13.0
../input/data/boxing/00000438.jpg,3.0
../input/data/gymnastics/00000634.jpg,9.0
../input/data/formula1/00000215.jpg,8.0
../input/data/shooting/00000511.jpg,14.0
../input/data/volleyball/00000167.jpg,18.0
../input/data/football/00000675.jpg,7.0
../input/data/formula1/00000338.jpg,8.0
../input/data/weight_lifting/00000612.JPG,19.0
../input/data/basketball/00000514.jpg,2.0
../input/data/gymnastics/00000525.jpg,9.0
../input/data/motogp/00000468.jpg,13.0
../input/data/weight_lifting/00000224.jpg,19.0
../input/data/ice_hockey/00000645.JPG,11.0
../input/data/cricket/00000394.jpg,5.0
../input/data/football/00000743.png,7.0
../input/data/wwe/00000414.jpg,21.0
../input/data/gymnastics/00000202.jpg,9.0
../input/data/tennis/00000568.jpg,17.0
../input/data/table_tennis/00000124.jpg,16.0
../input/data/cricket/00000319.jpg,5.0
../input/data/boxing/00000325.jpg,3.0
../input/data/tennis/00000148.jpg,17.0
../input/data/volleyball/00000627.jpg,18.0
../input/data/formula1/00000120.jpg,8.0
../input/data/wwe/00000050.jpg,21.0
../input/data/table_tennis/00000463.jpg,16.0
../input/data/fencing/00000629.jpg,6.0
../input/data/swimming/00000582.jpg,15.0
../input/data/cricket/00000571.jpg,5.0
../input/data/fencing/00000021.jpg,6.0
../input/data/table_tennis/00000680.JPG,16.0
../input/data/boxing/00000482.jpg,3.0
../input/data/tennis/00000606.jpg,17.0
../input/data/swimming/00000160.jpg,15.0
../input/data/shooting/00000026.jpg,14.0
../input/data/wrestling/00000029.jpg,20.0
../input/data/kabaddi/00000434.jpg,12.0
../input/data/football/00000751.jpg,7.0
../input/data/ice_hockey/00000111.jpg,11.0
../input/data/chess/00000169.jpg,4.0
../input/data/badminton/00000901.jpg,0.0
../input/data/table_tennis/00000608.jpg,16.0
../input/data/badminton/00000339.jpg,0.0
../input/data/tennis/00000275.jpg,17.0
../input/data/kabaddi/00000004.jpg,12.0
../input/data/gymnastics/00000313.jpg,9.0
../input/data/fencing/00000321.jpg,6.0
../input/data/football/00000744.jpg,7.0
../input/data/baseball/00000405.jpg,1.0
../input/data/football/00000521.jpg,7.0
../input/data/cricket/00000359.jpg,5.0
../input/data/badminton/00000975.jpg,0.0
../input/data/formula1/00000381.jpg,8.0
../input/data/swimming/00000354.jpg,15.0
../input/data/gymnastics/00000096.jpg,9.0
../input/data/weight_lifting/00000335.png,19.0
../input/data/table_tennis/00000117.jpg,16.0
../input/data/swimming/00000704.jpg,15.0
../input/data/baseball/00000771.jpg,1.0
../input/data/basketball/00000429.jpg,2.0
../input/data/boxing/00000101.jpg,3.0
../input/data/cricket/00000259.jpg,5.0
../input/data/wrestling/00000198.jpg,20.0
../input/data/badminton/00000964.jpg,0.0
../input/data/gymnastics/00000635.jpg,9.0
../input/data/swimming/00000091.jpg,15.0
../input/data/chess/00000041.jpg,4.0
../input/data/tennis/00000386.jpg,17.0
../input/data/kabaddi/00000123.jpg,12.0
../input/data/football/00000757.jpg,7.0
../input/data/wrestling/00000070.png,20.0
../input/data/wwe/00000544.jpg,21.0
../input/data/wrestling/00000240.jpg,20.0
../input/data/football/00000612.jpg,7.0
../input/data/kabaddi/00000243.jpg,12.0
../input/data/fencing/00000051.jpg,6.0
../input/data/tennis/00000728.jpg,17.0
../input/data/wwe/00000670.jpg,21.0
../input/data/boxing/00000609.jpg,3.0
../input/data/tennis/00000290.jpg,17.0
../input/data/football/00000398.jpg,7.0
../input/data/football/00000451.jpg,7.0
../input/data/fencing/00000470.jpg,6.0
../input/data/ice_hockey/00000665.jpg,11.0
../input/data/wrestling/00000584.jpg,20.0
../input/data/tennis/00000047.jpg,17.0
../input/data/basketball/00000098.jpg,2.0
../input/data/wrestling/00000484.JPG,20.0
../input/data/shooting/00000252.jpg,14.0
../input/data/table_tennis/00000112.jpg,16.0
../input/data/hockey/00000250.jpg,10.0
../input/data/chess/00000286.jpg,4.0
../input/data/shooting/00000405.png,14.0
../input/data/shooting/00000255.jpg,14.0
../input/data/cricket/00000098.jpg,5.0
../input/data/motogp/00000315.jpg,13.0
../input/data/hockey/00000330.jpg,10.0
../input/data/badminton/00000715.jpg,0.0
../input/data/chess/00000349.jpg,4.0
../input/data/boxing/00000191.jpg,3.0
../input/data/football/00000638.jpg,7.0
../input/data/volleyball/00000431.jpg,18.0
../input/data/football/00000839.jpg,7.0
../input/data/football/00000715.jpg,7.0
../input/data/football/00000460.jpg,7.0
../input/data/football/00000385.jpg,7.0
../input/data/hockey/00000035.jpg,10.0
../input/data/swimming/00000087.jpg,15.0
../input/data/wwe/00000029.jpg,21.0
../input/data/basketball/00000134.jpg,2.0
../input/data/hockey/00000456.jpg,10.0
../input/data/wwe/00000417.jpg,21.0
../input/data/badminton/00000255.jpg,0.0
../input/data/hockey/00000423.jpg,10.0
../input/data/hockey/00000036.jpg,10.0
../input/data/baseball/00000177.jpg,1.0
../input/data/basketball/00000258.png,2.0
../input/data/hockey/00000498.jpg,10.0
../input/data/wrestling/00000547.jpg,20.0
../input/data/badminton/00000914.jpg,0.0
../input/data/formula1/00000538.jpg,8.0
../input/data/swimming/00000390.jpg,15.0
../input/data/volleyball/00000421.jpg,18.0
../input/data/swimming/00000075.jpg,15.0
../input/data/gymnastics/00000298.JPG,9.0
../input/data/wrestling/00000619.jpg,20.0
../input/data/swimming/00000019.jpg,15.0
../input/data/badminton/00000477.jpg,0.0
